ALDH1A1	00001	NP_000680.2	ALDH1A1	00001	NP_000680.2	in vivo;yeast 2-hybrid	12081471,16189514
VDR	03463	NP_000367.1	JUN	01302	NP_002219.1	in vitro	10330159
MAPK3	03479	NP_002737.2	JUN	01302	NP_002219.1	in vivo;yeast 2-hybrid	1922387
SUMO1	03554	NP_003343.1	JUN	01302	NP_002219.1	in vitro;in vivo	11867732
NCOA3	03570	NP_858045.1	JUN	01302	NP_002219.1	in vitro;in vivo	11477071
NRIP1	03927	NP_003480.2	JUN	01302	NP_002219.1	in vitro;in vivo	12554755
TGIF1	04023	NP_733796.2	JUN	01302	NP_002219.1	in vitro;in vivo	11371641
NCOA1	04070	NP_003734.3	JUN	01302	NP_002219.1	in vitro	9642216
BLNK	05153	NP_037446.1	CD72	00118	NP_001773.1	in vivo	10820378
EP300	04078	NP_001420.2	JUN	01302	NP_002219.1	in vitro;in vivo	11689449
MAPK9	04206	NP_002743.3	JUN	01302	NP_002219.1	in vitro	9405416
TSC22D3	04266	NP_932174.1	JUN	01302	NP_002219.1	in vitro	11397794
TCF20	04378	NP_005641.1	JUN	01302	NP_002219.1	in vitro	8663478
SMAD3	04380	NP_005893.1	JUN	01302	NP_002219.1	in vitro;in vivo	9732876
DHX9	04386	NP_001348.2	JUN	01302	NP_002219.1	in vitro	11823437
ATF3	04395	NP_001665.1	JUN	01302	NP_002219.1	in vitro;in vivo	8649793,14667575
HIF1A	04517	NP_001521.1	JUN	01302	NP_002219.1	in vivo	11739718
TRIP4	05140	NP_057297.2	JUN	01302	NP_002219.1	in vivo	12077347
MYBBP1A	05349	NP_001099008.1	JUN	01302	NP_002219.1	in vitro	8302594
SERPINA3	00120	NP_001076.2	SERPINA3	00120	NP_001076.2	in vitro	14668352
PRKD1	05668	NP_002733.2	JUN	01302	NP_002219.1	in vivo	11948398
DDX21	05895	NP_004719.2	JUN	01302	NP_002219.1	in vitro;in vivo	11823437
SPIB	06007	Q01892	JUN	01302	NP_002219.1	in vitro	10196196
PACS1	06320	NP_060496.2	JUN	01302	NP_002219.1	in vitro;in vivo	11331585
ATF4	06817	NP_001666.2	JUN	01302	NP_002219.1	in vitro	1827203
HHEX	06829	NP_002720.1	JUN	01302	NP_002219.1	in vitro;yeast 2-hybrid	11551904
COPS5	06888	NP_006828.2	JUN	01302	NP_002219.1	in vitro	8837781
MAFB	07129	NP_005452.2	JUN	01302	NP_002219.1	in vitro	12798298
RFWD2	07455	NP_071902.2	JUN	01302	NP_002219.1	in vivo	12615916
EN1	08835	NP_001417.3	JUN	01302	NP_002219.1	in vitro;yeast 2-hybrid	11551904
TBCB	03196	NP_001272.2	USP7	03950	NP_003461.2	yeast 2-hybrid	16713569
CTSG	00289	NP_001902.1	SERPINA3	00120	NP_001076.2	in vitro;in vivo	10512690,9698370,8849841
GTF2B	08928	NP_001505.1	JUN	01302	NP_002219.1	in vitro	7848298
HDAC3	08950	NP_003874.2	JUN	01302	NP_002219.1	in vivo	12853483
UBE2I	09045	NP_003336.1	JUN	01302	NP_002219.1	in vitro;yeast 2-hybrid	11877416,8733011
RBM39	09201	NP_909122.1	JUN	01302	NP_002219.1	in vitro	11704680
RAGE	09310	NP_055041.1	JUN	01302	NP_002219.1	in vitro	10421840
MAPKAPK5	09467	NP_620777.1	JUN	01302	NP_002219.1	in vitro	9628874
BATF	09820	NP_006390.1	JUN	01302	NP_002219.1	in vitro;yeast 2-hybrid	8570175
CREB5	09896	NP_878901.2	JUN	01302	NP_002219.1	in vitro	8440710
COBRA1	10845	NP_056271.2	JUN	01302	NP_002219.1	in vitro;in vivo	15530430
TPM2	11768	NP_003280.2	JUN	01302	NP_002219.1	in vivo;yeast 2-hybrid	1631061
CTRL	00344	NP_001898.1	SERPINA3	00120	NP_001076.2	in vitro	8267879
PIAS1	16029	NP_057250.1	JUN	01302	NP_002219.1	in vitro	11867732
RPL18A	16045	NP_000971.1	JUN	01302	NP_002219.1	in vitro	7662174
JDP2	16360	NP_001128521.1	JUN	01302	NP_002219.1	in vitro;in vivo	9154808
SNRK	18082	NP_060189.3	JUN	01302	NP_002219.1	in vitro	10878360,12087103
RNPEP	04055	NP_064601.3	ZFYVE9	04782	NP_004790.2	yeast 2-hybrid	15231748
FHL2	04026	NP_001441.4	ZFYVE9	04782	NP_004790.2	yeast 2-hybrid	15231748
EIF4G1	06774	NP_886553.2	ZFYVE9	04782	NP_004790.2	yeast 2-hybrid	15231748
ZMYND8	10166	NP_898868.1	ZFYVE9	04782	NP_004790.2	yeast 2-hybrid	15231748
CHD6	13049	NP_115597.3	ZFYVE9	04782	NP_004790.2	yeast 2-hybrid	15231748
RBBP6	02964	NP_008841.2	ZFYVE9	04782	NP_004790.2	yeast 2-hybrid	15231748
CTRB1	00345	NP_001897.4	SERPINA3	00120	NP_001076.2	in vitro;in vivo	2435303
RHOT2	15248	NP_620124.1	ZFYVE9	04782	NP_004790.2	yeast 2-hybrid	15231748
SMAD5	04381	NP_005894.3	SF3B1	09281	NP_036565.2	yeast 2-hybrid	15231748
MAPK14	02619	NP_001306.1	JUNB	01303	NP_002220.1	in vitro	9889198,8917518
SMAD4	02995	NP_005350.1	JUNB	01303	NP_002220.1	in vitro	10220381,15231748
MAPK8	03100	NP_620637.1	JUNB	01303	NP_002220.1	in vitro;in vivo	9405416,9889198,8917518
FOSL2	03343	NP_005244.1	JUNB	01303	NP_002220.1	in vitro	14499865
SMAD3	04380	NP_005893.1	JUNB	01303	NP_002220.1	in vitro;in vivo	10903323
BATF	09820	NP_006390.1	JUNB	01303	NP_002220.1	in vitro;yeast 2-hybrid	8570175
JDP2	16360	NP_001128521.1	JUNB	01303	NP_002220.1	in vitro;in vivo	9154808
TBP	02511	NP_003185.1	JUND	01304	NP_005345.3	in vitro	7848298
CMA1	00346	NP_001827.1	SERPINA3	00120	NP_001076.2	in vitro	8226889
NFE2L2	02732	NP_006155.2	JUND	01304	NP_005345.3	in vivo	9872330
SMAD4	02995	NP_005350.1	JUND	01304	NP_005345.3	in vitro	10220381
MAPK8	03100	NP_620637.1	JUND	01304	NP_005345.3	in vitro	12052834
FOSL2	03343	NP_005244.1	JUND	01304	NP_005345.3	in vitro	10713367,12052862
MAPK9	04206	NP_002743.3	JUND	01304	NP_005345.3	in vitro	8945519
ATF3	04395	NP_001665.1	JUND	01304	NP_005345.3	in vivo	8152431
COPS5	06888	NP_006828.2	JUND	01304	NP_005345.3	in vitro	8837781
RFWD2	07455	NP_071902.2	JUND	01304	NP_005345.3	in vivo	12615916
BATF	09820	NP_006390.1	JUND	01304	NP_005345.3	in vitro;yeast 2-hybrid	8570175
JDP2	16360	NP_001128521.1	JUND	01304	NP_005345.3	in vitro;in vivo	9154808
MMP1	00384	NP_002412.1	SERPINA3	00120	NP_001076.2	in vitro;in vivo	1311327
SMAD5	04381	NP_005894.3	SMAD4	02995	NP_005350.1	yeast 2-hybrid	15231748
CEBPB	01801	NP_005185.2	SPI1	01305	NP_001074016.1	in vitro	7594592
NONO	02098	NP_031389.3	SPI1	01305	NP_001074016.1	in vitro;in vivo	8626664
GATA1	02372	NP_002040.1	SPI1	01305	NP_001074016.1	in vitro;in vivo	10364157
IRF8	03336	NP_002154.1	SPI1	01305	NP_001074016.1	in vitro	10734131
IRF4	03543	NP_002451.2	SPI1	01305	NP_001074016.1	in vitro;in vivo	10022840,12372320
SPIB	06007	Q01892	SPI1	01305	NP_001074016.1	in vitro	10196196
SMAD5	04381	NP_005894.3	SMAD1	03356	NP_005891.1	yeast 2-hybrid	15231748
FGFR2	01492	NP_075261.1	FGF5	01307	NP_004455.2	in vivo	11876253
CELA1	00553	NP_001962.3	SERPINA3	00120	NP_001076.2	in vitro	7759598,2456771
SMAD5	04381	NP_005894.3	MTMR10	07895	NP_060232.2	yeast 2-hybrid	15231748
OPRK1	01309	NP_000903.2	OPRD1	01308	NP_000902.3	in vivo	11069979
PRKCA	01498	NP_002728.1	OPRD1	01308	NP_000902.3	in vitro;in vivo	11085981
PRKCE	01500	NP_005391.1	OPRD1	01308	NP_000902.3	in vitro;in vivo	11085981
PRKCD	01501	NP_006245.2	OPRD1	01308	NP_000902.3	in vitro;in vivo	11085981
OPRM1	02484	NP_001138751.1	OPRD1	01308	NP_000902.3	in vivo	11069979
KLHL3	09011	NP_059111.2	OPRD1	01308	NP_000902.3	in vivo	11259487
ELANE	00554	NP_001963.1	SERPINA3	00120	NP_001076.2	in vitro	8718849,8011628
SLC9A3R1	05406	NP_004243.1	OPRK1	01309	NP_000903.2	in vitro;in vivo	12004055,15070904
CREBBP	02534	NP_004371.2	MECOM	01310	NP_001098547.3	in vitro;in vivo	11568182
HDAC1	03143	NP_004955.2	MECOM	01310	NP_001098547.3	in vitro;in vivo	11568182
CTBP1	04015	NP_001319.1	MECOM	01310	NP_001098547.3	in vitro;in vivo	11313276,11328817
CTBP2	04016	NP_073713.2	MECOM	01310	NP_001098547.3	in vitro	9724649
SMAD3	04380	NP_005893.1	MECOM	01310	NP_001098547.3	in vitro;in vivo	9665135
HDAC4	05610	NP_006028.2	MECOM	01310	NP_001098547.3	in vitro;in vivo	11568182
KAT2B	06780	NP_003875.3	MECOM	01310	NP_001098547.3	in vitro;in vivo	11568182
SMAD5	04381	NP_005894.3	PNKP	09284	NP_009185.2	yeast 2-hybrid	15231748
ZIC1	02718	NP_003403.2	GLI1	01311	NP_005260.1	in vitro;in vivo	11238441
MST1	00798	NP_066278.3	SERPINA3	00120	NP_001076.2	in vitro	11274154
ZIC2	04353	NP_009060.2	GLI1	01311	NP_005260.1	in vitro	11238441
SUFU	06124	NP_057253.2	GLI1	01311	NP_005260.1	in vitro;in vivo	10559945,12426310
STK36	09631	NP_056505.2	GLI1	01311	NP_005260.1	in vivo	10806483
SMAD5	04381	NP_005894.3	SFPQ	07284	NP_005057.1	yeast 2-hybrid	15231748
ZIC1	02718	NP_003403.2	GLI2	01312	NP_005261.2	in vitro;in vivo	11238441
ZIC2	04353	NP_009060.2	GLI2	01312	NP_005261.2	in vitro	11238441
SUFU	06124	NP_057253.2	GLI2	01312	NP_005261.2	in vitro	10564661
STK36	09631	NP_056505.2	GLI2	01312	NP_005261.2	in vivo	10806483
ZIC3	02225	NP_003404.1	GLI3	01313	P10071	in vitro	11238441
CREBBP	02534	NP_004371.2	GLI3	01313	P10071	in vitro;in vivo	10075717
KLK2	01006	NP_005542.1	SERPINA3	00120	NP_001076.2	in vitro;in vivo	9428387,9042371,10209959
ZIC1	02718	NP_003403.2	GLI3	01313	P10071	in vitro;in vivo	11238441
SMAD4	02995	NP_005350.1	GLI3	01313	P10071	in vitro	9843199
SMAD2	03221	NP_005892.1	GLI3	01313	P10071	in vitro	9843199
SMAD1	03356	NP_005891.1	GLI3	01313	P10071	in vitro	9843199
TWIST1	03374	NP_000465.1	GLI3	01313	P10071	in vitro	12142027
ZIC2	04353	NP_009060.2	GLI3	01313	P10071	in vivo	11238441
SMAD3	04380	NP_005893.1	GLI3	01313	P10071	in vitro	9843199
SUFU	06124	NP_057253.2	GLI3	01313	P10071	in vitro	10564661
STK36	09631	NP_056505.2	GLI3	01313	P10071	in vivo	10806483
SMAD4	02995	NP_005350.1	SKIL	01319	NP_005405.2	in vivo;yeast 2-hybrid	10531062,15231748
ERBB2	01281	NP_004439.2	SERPINA3	00120	NP_001076.2	in vivo	10829039
SMAD2	03221	NP_005892.1	SKIL	01319	NP_005405.2	in vivo;yeast 2-hybrid	10531062,11691834,15231748
SMAD3	04380	NP_005893.1	SKIL	01319	NP_005405.2	in vivo;yeast 2-hybrid	10531062,15231748
CDC16	04587	NP_003894.3	SKIL	01319	NP_005405.2	in vivo	11691834
FZR1	04687	NP_001129670.1	SKIL	01319	NP_005405.2	in vivo	11691834
CPNE1	05014	NP_003906.2	SKIL	01319	NP_005405.2	in vitro	12522145
CPNE2	05015	NP_689940.3	SKIL	01319	NP_005405.2	yeast 2-hybrid	12522145
CPNE4	05017	NP_570720.1	SKIL	01319	NP_005405.2	in vitro;yeast 2-hybrid	12522145
SMURF2	06901	NP_073576.1	SKIL	01319	NP_005405.2	in vivo	11389444
CBL	01320	NP_005179.2	CBL	01320	NP_005179.2	in vitro;in vivo	8995445,8063801,10078535,15677445
NHEJ1	07784	NP_079058.1	LIG4	03500	NP_002303.2	in vitro;in vivo	16439205
ADRA1D	00079	NP_000669.1	FLNC	00018	NP_001449.3	yeast 2-hybrid	15525470
KLK3	01461	NP_001639.1	SERPINA3	00120	NP_001076.2	in vitro;in vivo	11317942,10759471,9261179
PLCG1	01398	NP_002651.2	CBL	01320	NP_005179.2	in vitro;in vivo	12061819,9712732,16467851,9234717
PTPN6	01475	NP_536859.1	CBL	01320	NP_005179.2	in vitro;in vivo	12176909
TYK2	01490	NP_003322.3	CBL	01320	NP_005179.2	in vitro;in vivo	8780698
ZAP70	01495	NP_001070.2	CBL	01320	NP_005179.2	in vitro;in vivo	11133830,10074432,8798643
ITK	01746	NP_005537.3	CBL	01320	NP_005179.2	in vitro;in vivo	8810341
ABL1	01809	NP_009297.2	CBL	01320	NP_005179.2	in vitro;in vivo	12475393
SRC	01819	NP_005408.1	CBL	01320	NP_005179.2	in vitro;in vivo	8635998,17141222,18273061
NOTCH1	01827	NP_060087.3	CBL	01320	NP_005179.2	in vivo	11777909
BLK	01866	NP_001706.2	CBL	01320	NP_005179.2	in vitro;in vivo	8083187,8621719
BTK	02248	NP_000052.1	CBL	01320	NP_005179.2	in vitro	10427990,7629518
F5	01964	NP_000121.2	SERPINA3	00120	NP_001076.2	in vitro	8216224
SH3KBP1	02301	NP_114098.1	CBL	01320	NP_005179.2	in vitro;in vivo;yeast 2-hybrid	11894095,12618476,12177062
SYK	02514	NP_003168.2	CBL	01320	NP_005179.2	in vitro;in vivo	8621719,11133830,9857068,10540342,18273061
SCN5A	02543	NP_932173.1	CBL	01320	NP_005179.2	in vivo	8621719
VAV2	02694	NP_001127870.1	CBL	01320	NP_005179.2	in vivo	11313921
NCK1	02740	NP_006144.1	CBL	01320	NP_005179.2	in vitro;in vivo	7517397
SHC1	02780	NP_001123512.1	CBL	01320	NP_005179.2	in vitro;in vivo	10570290,8621719,8662998,9234717
INPPL1	02900	NP_001558.3	CBL	01320	NP_005179.2	in vivo	12504111
SLA	03060	NP_006739.2	CBL	01320	NP_005179.2	in vitro;in vivo	10449770
PTK2B	03131	NP_004094.3	CBL	01320	NP_005179.2	in vivo	11149930
UBE2G1	03340	NP_003333.1	CBL	01320	NP_005179.2	in vitro	11032556
POLA1	02416	NP_058633.2	SERPINA3	00120	NP_001076.2	in vitro	3490907
LCP2	03362	NP_005556.1	CBL	01320	NP_005179.2	in vivo	10204582,9716598
CRKL	03596	NP_005198.1	CBL	01320	NP_005179.2	in vitro;in vivo	12244174,9590251,9162067,8621483,8978305
SPRY2	03916	NP_005833.1	CBL	01320	NP_005179.2	in vitro;in vivo;yeast 2-hybrid	11053437,12234920,18273061,16893902
KHDRBS1	03926	NP_006550.1	CBL	01320	NP_005179.2	in vivo	9045636
EPHB6	04133	NP_004436.2	CBL	01320	NP_005179.2	in vivo	11713248
UBE2D2	04268	NP_003330.1	CBL	01320	NP_005179.2	in vitro	10514377
UBE2G2	04387	NP_003334.2	CBL	01320	NP_005179.2	in vitro	11032556
PIK3R2	04404	NP_005018.1	CBL	01320	NP_005179.2	in vivo	7629144
CD151	03763	NP_004348.2	ITGA3	05431	NP_005492.1	in vivo	14676841
UBE2L3	04762	NP_003338.1	CBL	01320	NP_005179.2	in vitro	10966114,10531381,11278816
CTRC	03242	NP_009203.2	SERPINA3	00120	NP_001076.2	in vivo	9635374,8718849
CD2AP	05026	NP_036252.1	CBL	01320	NP_005179.2	in vitro;in vivo	11067845,12618476
CD151	03763	NP_004348.2	ITGB1	00628	NP_391987.1	in vivo	14676841
SORBS1	05587	NP_001030126.1	CBL	01320	NP_005179.2	in vitro;yeast 2-hybrid	11001060
SLA2	05955	NP_115590.1	CBL	01320	NP_005179.2	in vitro;in vivo	12024036,11891219
PTPN22	06100	NP_057051.3	CBL	01320	NP_005179.2	in vitro;in vivo	10068674
SHC1	02780	NP_001123512.1	CD81	08924	NP_004347.1	in vivo	14676841
FRS2	06372	NP_006645.3	CBL	01320	NP_005179.2	in vitro	11997436
EIF5B	07304	NP_056988.3	CBL	01320	NP_005179.2	in vivo	8621719
SMAD5	04381	NP_005894.3	SNRPA	01658	NP_004587.1	yeast 2-hybrid	15231748
DNAJC1	09922	NP_071760.2	SERPINA3	00120	NP_001076.2	in vitro;in vivo;yeast 2-hybrid	14668352
CDKL2	16021	NP_003939.1	CBL	01320	NP_005179.2	in vivo	7721825
UBASH3B	16463	NP_116262.2	CBL	01320	NP_005179.2	in vitro;yeast 2-hybrid	15159412
PGGT1B	03612	NP_005014.2	RHOB	01321	NP_004031.1	in vitro	7713879,1400319,15451670
PDE6D	04056	NP_002592.1	RHOB	01321	NP_004031.1	in vivo;yeast 2-hybrid	11786539
ARHGDIG	04163	NP_001167.2	RHOB	01321	NP_004031.1	yeast 2-hybrid	8939998
RHPN2	10192	NP_149094.3	RHOB	01321	NP_004031.1	in vitro;in vivo;yeast 2-hybrid	12473120
ARHGEF3	12480	NP_001122087.1	RHOB	01321	NP_004031.1	in vivo	12221096
ROCK1	03414	NP_005397.1	RHOC	01322	NP_786886.1	in vivo	8816443
RTKN	03795	NP_001015055.1	RHOC	01322	NP_786886.1	yeast 2-hybrid	8662891
CIT	09289	NP_009105.1	RHOC	01322	NP_786886.1	in vitro;yeast 2-hybrid	8543060
ATN1	06311	NP_001931.2	PSMA3	01463	NP_002779.1	yeast 2-hybrid	16713569
RHOA	01323	NP_001655.1	RHOA	01323	NP_001655.1	in vitro	15069594
PLCG1	01398	NP_002651.2	RHOA	01323	NP_001655.1	in vitro;in vivo	12071848
KCNA2	01443	NP_004965.1	RHOA	01323	NP_001655.1	in vivo;yeast 2-hybrid	9635436
PRKCA	01498	NP_002728.1	RHOA	01323	NP_001655.1	in vivo	11284700
TGM2	01825	NP_004604.2	RHOA	01323	NP_001655.1	in vivo	11350930
FLNA	02060	NP_001104026.1	RHOA	01323	NP_001655.1	in vivo	10051605
OPHN1	02130	NP_002538.1	RHOA	01323	NP_001655.1	in vitro	11998687,9582072
MCF2	02406	NP_001093325.1	RHOA	01323	NP_001655.1	in vitro	10854437
KTN1	02661	NP_891556.1	RHOA	01323	NP_001655.1	in vitro;in vivo;yeast 2-hybrid	8769096,11689693
VAV2	02694	NP_001127870.1	RHOA	01323	NP_001655.1	in vivo	11909943
ATN1	06311	NP_001931.2	GIGYF1	10145	NP_072096.2	yeast 2-hybrid	16713569
PKN1	03019	NP_998725.1	RHOA	01323	NP_001655.1	in vitro;in vivo	9446575,8571127,10619026
DGKQ	03127	NP_001338.2	RHOA	01323	NP_001655.1	in vitro;in vivo	10066731
PRKACA	03382	NP_002721.1	RHOA	01323	NP_001655.1	in vitro;in vivo	12654918
ROCK1	03414	NP_005397.1	RHOA	01323	NP_001655.1	in vitro;yeast 2-hybrid	8798490
TRIO	03537	NP_009049.2	RHOA	01323	NP_001655.1	in vitro	10948190
ARHGDIA	03565	NP_004300.1	RHOA	01323	NP_001655.1	in vitro;in vivo	10489445
PPP1R12A	03606	NP_002471.1	RHOA	01323	NP_001655.1	in vitro;in vivo	9354661
RTKN	03795	NP_001015055.1	RHOA	01323	NP_001655.1	in vitro;yeast 2-hybrid	8662891,14506264
CNTNAP1	03825	NP_003623.1	RHOA	01323	NP_001655.1	in vitro	9407060
PLD1	03855	NP_002653.1	RHOA	01323	NP_001655.1	in vitro;in vivo	11311142,12593858,9565577
CTSB	00287	NP_680090.1	SLPI	00121	NP_003055.1	in vitro	11435427
PKN2	03972	NP_006247.1	RHOA	01323	NP_001655.1	in vitro;in vivo	8910519,9121475
PDE6D	04056	NP_002592.1	RHOA	01323	NP_001655.1	in vivo;yeast 2-hybrid	11786539
ARHGAP1	04108	NP_004299.1	RHOA	01323	NP_001655.1	in vitro	9548756
ARHGDIB	04162	NP_001166.3	RHOA	01323	NP_001655.1	in vivo	9799233
ARHGDIG	04163	NP_001167.2	RHOA	01323	NP_001655.1	in vitro	9113980
AKAP13	05253	NP_006729.4	RHOA	01323	NP_001655.1	in vivo	12423633,11696353
RABAC1	05375	NP_006414.2	RHOA	01323	NP_001655.1	in vivo;yeast 2-hybrid	11335720
ARHGEF4	05559	NP_056135.2	RHOA	01323	NP_001655.1	in vitro	10947987
VAV3	05706	NP_006104.4	RHOA	01323	NP_001655.1	in vitro	10523675
ARHGEF12	09207	NP_056128.1	RHOA	01323	NP_001655.1	in vitro;in vivo	11373293
CTSS	00292	NP_004070.3	SLPI	00121	NP_003055.1	in vitro	11435427
CIT	09289	NP_009105.1	RHOA	01323	NP_001655.1	in vitro;yeast 2-hybrid	8543060
ARHGEF11	09302	NP_937879.1	RHOA	01323	NP_001655.1	in vitro	10526156,15530360
ICMT	09321	NP_036537.1	RHOA	01323	NP_001655.1	in vitro	9614111
SRGAP1	09406	NP_065813.1	RHOA	01323	NP_001655.1	in vivo	11672528
DAAM1	09433	NP_055807.1	RHOA	01323	NP_001655.1	in vitro;in vivo	11779461
RHPN2	10192	NP_149094.3	RHOA	01323	NP_001655.1	in vitro;in vivo	12221077
SH3BP1	10227	NP_061830.3	RHOA	01323	NP_001655.1	in vitro	9548756
ARHGEF2	10458	NP_001155855.1	RHOA	01323	NP_001655.1	in vitro	9857026
DEF6	10869	NP_071330.3	RHOA	01323	NP_001655.1	in vitro	15023524
GMIP	11005	NP_057657.2	RHOA	01323	NP_001655.1	in vitro;in vivo	12093360
CTSL1	00293	NP_001903.1	SLPI	00121	NP_003055.1	in vitro	11435427
RAP1GDS1	11763	NP_001093896.1	RHOA	01323	NP_001655.1	in vitro;yeast 2-hybrid	11948427
TRPC1	11894	NP_003295.1	RHOA	01323	NP_001655.1	in vitro;in vivo	12766172
CNKSR1	11937	AAH11604.1	RHOA	01323	NP_001655.1	in vitro;in vivo;yeast 2-hybrid	14749388,15670823
ARHGEF18	12479	NP_001124427.1	RHOA	01323	NP_001655.1	in vitro	11085924
ARHGEF3	12480	NP_001122087.1	RHOA	01323	NP_001655.1	in vivo	12221096
-	13573	NP_001104740.1	RHOA	01323	NP_001655.1	in vitro	15069594
MCF2L	14371	NP_001106203.1	RHOA	01323	NP_001655.1	in vitro	12006984
-	15244	NP_001073948.1	RHOA	01323	NP_001655.1	in vitro;yeast 2-hybrid	9199174
DOCK7	16833	NP_212132.2	RHOA	01323	NP_001655.1	in vitro	12432077
SMAD5	04381	NP_005894.3	PSMD11	05119	NP_002806.2	yeast 2-hybrid	15231748
ADRA1B	00080	NP_000670.1	FLNC	00018	NP_001449.3	yeast 2-hybrid	15525470
ELANE	00554	NP_001963.1	SLPI	00121	NP_003055.1	in vitro	10702419
RHPN1	17973	NP_443156.2	RHOA	01323	NP_001655.1	in vitro;in vivo	12221077
SPRED2	18100	NP_861449.2	RHOA	01323	NP_001655.1	in vivo	15184877
SMAD5	04381	NP_005894.3	U2AF2	01872	NP_009210.1	yeast 2-hybrid	15231748
SMAD5	04381	NP_005894.3	SOX5	18086	NP_008871.3	yeast 2-hybrid	15231748
OAZ1	03346	NP_004143.1	ODC1	01324	NP_002530.1	in vitro	12359729,8185631
OAZ2	11966	AAF99601.1	ODC1	01324	NP_002530.1	in vitro	12359729
ACP5	01374	NP_001602.1	SPP1	01325	NP_001035147.1	in vitro	8195113,2808373
PRKCA	01498	NP_002728.1	SPP1	01325	NP_001035147.1	in vitro	8663267
MMP7	01525	NP_002414.1	SPP1	01325	NP_001035147.1	in vitro;in vivo	11375993
ITGAV	01903	NP_002201.1	SPP1	01325	NP_001035147.1	in vitro;in vivo	10835423
GRN	00733	NP_002078.1	SLPI	00121	NP_003055.1	in vitro;in vivo;yeast 2-hybrid	12526812
ITGA9	04910	NP_002198.2	SPP1	01325	NP_001035147.1	in vitro;in vivo	10593924
PRKG1	08910	NP_006249.1	SPP1	01325	NP_001035147.1	in vitro	8663267
SMAD5	04381	NP_005894.3	HBG2	00792	NP_000175.1	yeast 2-hybrid	15231748
TTN	01787	NP_596869.3	NBR1	01326	NP_114064.1	in vitro;yeast 2-hybrid	15802564
CIB1	03800	NP_006375.2	NBR1	01326	NP_114064.1	in vitro;yeast 2-hybrid	11856312
FEZ1	09212	NP_005094.1	NBR1	01326	NP_114064.1	in vivo;yeast 2-hybrid	11856312
VAPA	09299	NP_003565.4	OSBP	01327	NP_002547.1	in vitro;in vivo;yeast 2-hybrid	12023275
SMAD5	04381	NP_005894.3	RBM4	03982	NP_002887.2	yeast 2-hybrid	15231748
AVP	01891	NP_000481.2	OXTR	01328	NP_000907.2	in vivo	7921229
OXT	08880	NP_000906.1	OXTR	01328	NP_000907.2	in vitro	10698266
KLK3	01461	NP_001639.1	SLPI	00121	NP_003055.1	in vitro	7539415
PCSK6	01329	NP_612193.1	PCSK6	01329	NP_612193.1	in vivo	9738469
PCSK6	01329	NP_612193.1	PMCH	01459	NP_002665.2	in vitro;in vivo	10037747
PCSK6	01329	NP_612193.1	FLG	15920	NP_002007.1	in vitro	11380615
RB1	01574	NP_000312.2	PAX2	01330	NP_003981.2	in vivo	12200151
MAPK8	03100	NP_620637.1	PAX2	01330	NP_003981.2	in vitro;in vivo	11700324
WT1	06163	NP_077744.3	PAX2	01330	NP_003981.2	in vitro;in vivo	14603255
PAXIP1	08491	NP_031375.3	PAX2	01330	NP_003981.2	in vitro;in vivo;yeast 2-hybrid	10908331
SFRP2	16041	NP_003004.1	PAX2	01330	NP_003981.2	in vitro	14561758
HIRA	02583	NP_003316.3	PAX7	01331	NP_002575.1	in vitro;yeast 2-hybrid	9731536
MEOX1	02537	NP_004518.1	PAX1	01332	NP_006183.2	in vitro;yeast 2-hybrid	11423130
PRSS2	03335	NP_002761.1	SLPI	00121	NP_003055.1	in vitro	8573092
MEOX2	02760	NP_005915.2	PAX1	01332	NP_006183.2	in vitro;yeast 2-hybrid	11423130
PAX5	01334	NP_057953.1	PAX5	01334	NP_057953.1	in vivo	10022910
MYB	01810	NP_001123645.1	PAX5	01334	NP_057953.1	in vivo	11781241
ID3	02608	NP_002158.3	PAX5	01334	NP_057953.1	in vivo	12054881
KPNA2	02818	NP_002257.1	PAX5	01334	NP_057953.1	in vitro;yeast 2-hybrid	10748034
KPNA1	02819	NP_002255.3	PAX5	01334	NP_057953.1	in vitro;yeast 2-hybrid	10748034
DAXX	04424	NP_001135442.1	PAX5	01334	NP_057953.1	in vitro;in vivo;yeast 2-hybrid	11799127
TLE4	05502	AAH59405.1	PAX5	01334	NP_057953.1	in vitro;in vivo;yeast 2-hybrid	12153506,10811620
SMAD5	04381	NP_005894.3	RYR2	01619	NP_001026.2	yeast 2-hybrid	15231748
NKX2-1	02798	NP_001073136.1	PAX8	01335	NP_003457.1	in vitro;in vivo	12441357,14970209
ATN1	06311	NP_001931.2	SIAH1	03736	NP_001006611.1	yeast 2-hybrid	16713569
SMAD3	04380	NP_005893.1	PAX8	01335	NP_003457.1	in vitro;in vivo	14623893
WBP2	06097	NP_036610.2	PAX8	01335	NP_003457.1	in vitro;in vivo	14531730
PAX9	01336	NP_006185.1	KDM5B	09251	NP_006609.3	in vivo;yeast 2-hybrid	12657635
SRF	02788	NP_003122.1	PRRX1	01337	NP_073207.1	in vitro;in vivo	9334314
GTF2I	03399	NP_127492.1	PRRX1	01337	NP_073207.1	in vitro;in vivo	9334314
MAFG	03605	NP_002350.1	PRRX1	01337	NP_073207.1	in vitro;in vivo	11036080
MAFF	05343	NP_036455.1	PRRX1	01337	NP_073207.1	in vitro	11036080
REG3A	01342	NP_620355.1	REG1A	01338	NP_002900.2	in vitro;yeast 2-hybrid	10662590
